Datum,Celebration,Feiertag
2012-01-01,New Year's Day,1
2012-04-06,Good Friday,1
2012-04-09,Easter Monday,1
2012-05-01,Labour Day,1
2012-05-17,Ascension Day,1
2012-05-28,Whit Monday,1
2012-10-03,German Unity Day,1
2012-12-25,Christmas Day,1
2012-12-26,2nd Day of Christmas,1
2013-01-01,New Year's Day,1
2013-03-29,Good Friday,1
2013-04-01,Easter Monday,1
2013-05-01,Labour Day,1
2013-05-09,Ascension Day,1
2013-05-20,Whit Monday,1
2013-10-03,German Unity Day,1
2013-12-25,Christmas Day,1
2013-12-26,2nd Day of Christmas,1
2014-01-01,New Year's Day,1
2014-04-18,Good Friday,1
2014-04-21,Easter Monday,1
2014-05-01,Labour Day,1
2014-05-29,Ascension Day,1
2014-06-09,Whit Monday,1
2014-10-03,German Unity Day,1
2014-12-25,Christmas Day,1
2014-12-26,2nd Day of Christmas,1
2015-01-01,New Year's Day,1
2015-04-03,Good Friday,1
2015-04-06,Easter Monday,1
2015-05-01,Labour Day,1
2015-05-14,Ascension Day,1
2015-05-25,Whit Monday,1
2015-10-03,German Unity Day,1
2015-12-25,Christmas Day,1
2015-12-26,2nd Day of Christmas,1
2016-01-01,New Year's Day,1
2016-03-25,Good Friday,1
2016-03-28,Easter Monday,1
2016-05-01,Labour Day,1
2016-05-05,Ascension Day,1
2016-05-16,Whit Monday,1
2016-10-03,German Unity Day,1
2016-12-25,Christmas Day,1
2016-12-26,2nd Day of Christmas,1
2017-01-01,New Year's Day,1
2017-04-14,Good Friday,1
2017-04-17,Easter Monday,1
2017-05-01,Labour Day,1
2017-05-25,Ascension Day,1
2017-06-05,Whit Monday,1
2017-10-03,German Unity Day,1
2017-10-31,Reformation Day,1
2017-12-25,Christmas Day,1
2017-12-26,2nd Day of Christmas,1
2018-01-01,New Year's Day,1
2018-03-30,Good Friday,1
2018-04-02,Easter Monday,1
2018-05-01,Labour Day,1
2018-05-10,Ascension Day,1
2018-05-21,Whit Monday,1
2018-10-03,German Unity Day,1
2018-10-31,Reformation Day,1
2018-12-25,Christmas Day,1
2018-12-26,2nd Day of Christmas,1
2019-01-01,New Year's Day,1
2019-04-19,Good Friday,1
2019-04-22,Easter Monday,1
2019-05-01,Labour Day,1
2019-05-30,Ascension Day,1
2019-06-10,Whit Monday,1
2019-10-03,German Unity Day,1
2019-10-31,Reformation Day,1
2019-12-25,Christmas Day,1
2019-12-26,2nd Day of Christmas,1
