Datum,Celebration
2012-01-01,New Year's Day
2012-04-06,Good Friday
2012-04-09,Easter Monday
2012-05-01,Labour Day
2012-05-17,Ascension Day
2012-05-28,Whit Monday
2012-10-03,German Unity Day
2012-12-25,Christmas Day
2012-12-26,2nd Day of Christmas
2013-01-01,New Year's Day
2013-03-29,Good Friday
2013-04-01,Easter Monday
2013-05-01,Labour Day
2013-05-09,Ascension Day
2013-05-20,Whit Monday
2013-10-03,German Unity Day
2013-12-25,Christmas Day
2013-12-26,2nd Day of Christmas
2014-01-01,New Year's Day
2014-04-18,Good Friday
2014-04-21,Easter Monday
2014-05-01,Labour Day
2014-05-29,Ascension Day
2014-06-09,Whit Monday
2014-10-03,German Unity Day
2014-12-25,Christmas Day
2014-12-26,2nd Day of Christmas
2015-01-01,New Year's Day
2015-04-03,Good Friday
2015-04-06,Easter Monday
2015-05-01,Labour Day
2015-05-14,Ascension Day
2015-05-25,Whit Monday
2015-10-03,German Unity Day
2015-12-25,Christmas Day
2015-12-26,2nd Day of Christmas
2016-01-01,New Year's Day
2016-03-25,Good Friday
2016-03-28,Easter Monday
2016-05-01,Labour Day
2016-05-05,Ascension Day
2016-05-16,Whit Monday
2016-10-03,German Unity Day
2016-12-25,Christmas Day
2016-12-26,2nd Day of Christmas
2017-01-01,New Year's Day
2017-04-14,Good Friday
2017-04-17,Easter Monday
2017-05-01,Labour Day
2017-05-25,Ascension Day
2017-06-05,Whit Monday
2017-10-03,German Unity Day
2017-10-31,Reformation Day
2017-12-25,Christmas Day
2017-12-26,2nd Day of Christmas
2018-01-01,New Year's Day
2018-03-30,Good Friday
2018-04-02,Easter Monday
2018-05-01,Labour Day
2018-05-10,Ascension Day
2018-05-21,Whit Monday
2018-10-03,German Unity Day
2018-10-31,Reformation Day
2018-12-25,Christmas Day
2018-12-26,2nd Day of Christmas
2019-01-01,New Year's Day
2019-04-19,Good Friday
2019-04-22,Easter Monday
2019-05-01,Labour Day
2019-05-30,Ascension Day
2019-06-10,Whit Monday
2019-10-03,German Unity Day
2019-10-31,Reformation Day
2019-12-25,Christmas Day
2019-12-26,2nd Day of Christmas
2020-01-01,New Year's Day
2020-04-10,Good Friday
2020-04-13,Easter Monday
2020-05-01,Labour Day
2020-05-21,Ascension Day
2020-06-01,Whit Monday
2020-10-03,German Unity Day
2020-10-31,Reformation Day
2020-12-25,Christmas Day
2020-12-26,2nd Day of Christmas
2021-01-01,New Year's Day
2021-04-02,Good Friday
2021-04-05,Easter Monday
2021-05-01,Labour Day
2021-05-13,Ascension Day
2021-05-24,Whit Monday
2021-10-03,German Unity Day
2021-10-31,Reformation Day
2021-12-25,Christmas Day
2021-12-26,2nd Day of Christmas
2022-01-01,New Year's Day
2022-04-15,Good Friday
2022-04-18,Easter Monday
2022-05-01,Labour Day
2022-05-26,Ascension Day
2022-06-06,Whit Monday
2022-10-03,German Unity Day
2022-10-31,Reformation Day
2022-12-25,Christmas Day
2022-12-26,2nd Day of Christmas
2023-01-01,New Year's Day
2023-04-07,Good Friday
2023-04-10,Easter Monday
2023-05-01,Labour Day
2023-05-18,Ascension Day
2023-05-29,Whit Monday
2023-10-03,German Unity Day
2023-10-31,Reformation Day
2023-12-25,Christmas Day
2023-12-26,2nd Day of Christmas
2024-01-01,New Year's Day
2024-03-29,Good Friday
2024-04-01,Easter Monday
2024-05-01,Labour Day
2024-05-09,Ascension Day
2024-05-20,Whit Monday
2024-10-03,German Unity Day
2024-10-31,Reformation Day
2024-12-25,Christmas Day
2024-12-26,2nd Day of Christmas
2025-01-01,New Year's Day
2025-04-18,Good Friday
2025-04-21,Easter Monday
2025-05-01,Labour Day
2025-05-29,Ascension Day
2025-06-09,Whit Monday
2025-10-03,German Unity Day
2025-10-31,Reformation Day
2025-12-25,Christmas Day
2025-12-26,2nd Day of Christmas
